Question,Answer,Categories,Tags
Who is the maker of C3?,The C3 probe is made by ATL.,['Manufacturer'],"['ATL', 'C3']"
Is C3 made by ATL or Philips?,The C3 probe is made by ATL.,['Manufacturer'],"['ATL', 'C3']"
What systems is ATL C3 compatible with?,The ATL C3 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'C3', 'HDI 5000']"
Can the ATL C3 work with the HDI 5000?,"Yes, the ATL C3 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'C3', 'HDI 5000']"
Does the ATL C3 work with the Sequoia?,"No, the ATL C3 is not compatible with the Sequoia ultrasound system.",['Compatibility'],"['ATL', 'C3']"
What type of probe is the ATL C3?,The ATL C3 is a Convex Array probe with a frequency range of 3 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C3', 'Convex Array']"
What can the ATL C3 be used for?,"The ATL C3 can be used for abdominal, general applications.",['Applications'],"['ATL', 'C3', 'abdominal, general']"
Do you have any ATL C3 for sale?,We currently do not have any ATL C3 in stock.,['Stock'],"['ATL', 'C3']"
Do you have any C3 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL C3 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C3', 'HDI 5000']"
Who is the manufacturer of C4-2 transducer?,The C4-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'C4-2']"
Is C4-2 made by ATL or G.E.?,The C4-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'C4-2']"
What systems is ATL C4-2 compatible with?,The ATL C4-2 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'C4-2', 'HDI 5000']"
Can the ATL C4-2 work with the HDI 5000?,"Yes, the ATL C4-2 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'C4-2', 'HDI 5000']"
Can the ATL C4-2 work with the CX50?,"No, the ATL C4-2 is not compatible with the CX50 ultrasound system.",['Compatibility'],"['ATL', 'C4-2']"
What type of probe is the ATL C4-2?,The ATL C4-2 is a Convex Array probe with a frequency range of 2-4 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C4-2', 'Convex Array']"
What can the ATL C4-2 be used for?,"The ATL C4-2 can be used for abdominal, obstetric, gynecologic, general applications.",['Applications'],"['ATL', 'C4-2', 'abdominal, obstetric, gynecologic, general']"
Do you have any ATL C4-2 in stock?,"Yes, we currently have ATL C4-2 available for sale.",['Stock'],"['ATL', 'C4-2']"
Do you have any C4-2 for HDI 5000 for sale?,"Yes, we currently have the ATL C4-2 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C4-2', 'HDI 5000']"
