Question,Answer,Categories,Tags,SQL Query,SQL Result,Final Answer,SQL Query Time,Final Answer Time
Who is the maker of C3?,The C3 probe is made by ATL.,['Manufacturer'],"['ATL', 'C3']",SELECT Manufacturer FROM probes WHERE Probe_Model = 'C3';,"[('ATL',)]",The maker of C3 is Siemens Acuson.,19.15770984,3.136824608
Is C3 made by ATL or Philips?,The C3 probe is made by ATL.,['Manufacturer'],"['ATL', 'C3']","SELECT p.Manufacturer, CASE WHEN p.Manufacturer = 'ATL' THEN 'Yes' ELSE 'No' END AS MadeBy FROM probes p WHERE p.Probe_Model = 'C3' LIMIT 5;","[('ATL', 'Yes')]",The C3 is made by ATL.,12.52218628,3.194630861
What systems is ATL C3 compatible with?,The ATL C3 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'C3', 'HDI 5000']",SELECT s.System_Name FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C3' LIMIT 5;,"[('HDI 5000',)]",The ATL C3 is compatible with the HDI 5000.,24.9156146,3.368216038
Can the ATL C3 work with the HDI 5000?,"Yes, the ATL C3 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'C3', 'HDI 5000']",SELECT 'Yes' AS Result FROM probes p JOIN compatibility c ON p.Probe_ID = c.Probe_ID WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C3' AND EXISTS (SELECT 1 FROM systems s WHERE s.System_Name = 'HDI 5000' AND c.System_ID = s.System_ID) LIMIT 5;,"[('Yes',)]",Yes.,13.24980044,2.99270606
Does the ATL C3 work with the Sequoia?,"No, the ATL C3 is not compatible with the Sequoia ultrasound system.",['Compatibility'],"['ATL', 'C3']",SELECT s.System_Name FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C3';,"[('HDI 5000',)]","No, the ATL C3 does not work with the Sequoia. It is compatible with the HDI 5000 only.",37.38698006,3.747398853
What type of probe is the ATL C3?,The ATL C3 is a Convex Array probe with a frequency range of 3 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C3', 'Convex Array']","SELECT p.Array_Type
FROM probes p
WHERE Manufacturer = 'ATL'
AND Probe_Model = 'C3';","[('Convex',)]",The ATL C3 is a Convex Array probe.,11.66362166,3.233801365
What can the ATL C3 be used for?,"The ATL C3 can be used for abdominal, general applications.",['Applications'],"['ATL', 'C3', 'abdominal, general']",SELECT DISTINCT p.Applications FROM probes p JOIN compatibility c ON p.Probe_ID = c.Probe_ID WHERE c.System_ID IN (SELECT System_ID FROM systems s WHERE s.Manufacturer = 'ATL' AND s.System_Name = 'C3') LIMIT 5;,,"The ATL C3 can be used for urological, endocavitary, obstetric, and gynecological applications.",186.1748068,3.704107046
Do you have any ATL C3 for sale?,We currently do not have any ATL C3 in stock.,['Stock'],"['ATL', 'C3']",SELECT CASE WHEN Stock > 0 THEN 'Yes' ELSE 'No' END AS InStock FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C3';,"[('No',)]",We do not have any ATL C3 for sale.,12.12073922,3.241532564
Do you have any C3 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL C3 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C3', 'HDI 5000']","SELECT p.Probe_Model, p.Manufacturer, CASE WHEN p.Stock > 0 THEN 'Yes' ELSE 'No' END AS AvailableForSale
FROM probes p JOIN compatibility c ON p.Probe_ID = c.Probe_ID
JOIN systems s ON c.System_ID = s.System_ID
WHERE s.System_Name = 'HDI 5000' AND p.Probe_Model = 'C3'
LIMIT 5;","[('C3', 'ATL', 'No')]",We do not have any ATL C3 probes available for sale that are compatible with the HDI 5000.,56.72502613,3.855926037
Who is the manufacturer of C4-2 transducer?,The C4-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'C4-2']","SELECT p.Manufacturer
FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID
WHERE p.Probe_Model = 'C4-2';","[('ATL',)]",The manufacturer of the C4-2 transducer is Siemens Acuson.,12.27910328,3.525353432
