content,tags,question,score
The frequency range of the Philips L15-7io probe is 7.0 - 15.0 MHz.,"frozenset({'frequency', 'Philips', 'L15-7io', 'probes'})",What is the frequency range of the Philips L15-7io probe?,1
The manufacturer of the RAB2-5L probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RAB2-5L', 'probes'})",What manufacturer produces the RAB2-5L transducer?,1
The G.E. RAB2-5L probe is currently in stock and available for sale.,"frozenset({'G.E.', 'RAB2-5L', 'stock', 'probes'})",Are there any G.E. RAB2-5L transducers available for purchase?,1
"The Philips CX50 ultrasound system is compatible with the following Philips probes: C5-1, C9-3v, L12-3, S4-2.","frozenset({'systems', 'CX50', 'compatibility', 'C5-1, C9-3v, L12-3, S4-2', 'Philips'})",Does the Philips CX50 system support the C9-3v transducer?,1
The ATL P7-4 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'P7-4'})",What systems is the ATL P7-4 probe compatible with?,1
The manufacturer of the 7V3c probe is Siemens Acuson.,"frozenset({'manufacturer', '7V3c', 'Siemens Acuson', 'probes'})",Who manufactures the 7V3c probe?,1
The frequency range of the ATL P3-2 probe is 2.0 - 3.0 MHz.,"frozenset({'ATL', 'frequency', 'P3-2', 'probes'})",What is the frequency range of the ATL P3-2 probe?,1
"The Philips L12-3 probe is suitable for the following applications: vascular, musculoskeletal, breast, small parts.","frozenset({'L12-3', 'probes', 'vascular, musculoskeletal, breast, small parts', 'applications', 'Philips'})",Is the Philips L12-3 suitable for musculoskeletal applications?,1
"The ATL C8-4v probe is suitable for the following applications: endovaginal, gynecological, endocavitary.","frozenset({'C8-4v', 'ATL', 'probes', 'endovaginal, gynecological, endocavitary', 'applications'})",Can the ATL C8-4v probe be used for endovaginal and gynecological procedures?,1
The ATL P7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P7-4', 'probes'})",What is the status of the ATL P7-4 probe's availability?,1
"The Philips S4-2 probe is suitable for the following applications: cardiac, abdominal, pediatric, transcranial.","frozenset({'S4-2', 'cardiac, abdominal, pediatric, transcranial', 'probes', 'applications', 'Philips'})",What kind of applications is the Philips S4-2 probe suitable for?,1
The ATL C7-4 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C7-4', 'probes'})",What array type is the ATL C7-4?,1
The manufacturer of the P4-1 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-1', 'probes'})",Is the P4-1 probe made by ATL?,1
The Siemens Acuson 15L8W probe is compatible with the following systems: Sequoia.,"frozenset({'Siemens Acuson', 'probes', 'compatibility', 'Sequoia', '15L8W'})",Are there any other systems besides Sequoia that the Siemens Acuson 15L8W probe is compatible with?,1
The frequency range of the Philips S4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'S4-2', 'frequency', 'Philips', 'probes'})",What is the minimum frequency of the Philips S4-2 probe?,1
The frequency range of the G.E. 227s probe is 2.0 - 4.0 MHz.,"frozenset({'G.E.', 'frequency', '227s', 'probes'})",What is the frequency range of the G.E. 227s probe?,1
The manufacturer of the C5-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C5-2', 'probes'})",Who is the manufacturer of the C5-2 probe?,1
The manufacturer of the 15L8W probe is Siemens Acuson.,"frozenset({'15L8W', 'manufacturer', 'Siemens Acuson', 'probes'})",Who is the manufacturer of the 15L8W probe?,1
The Vivid E95 ultrasound system is made by G.E..,"frozenset({'G.E.', 'manufacturer', 'Vivid E95', 'systems'})",Is the Vivid E95 a G.E. ultrasound device?,1
The iE33 ultrasound system is made by Philips.,"frozenset({'manufacturer', 'Philips', 'systems', 'iE33'})",Does Philips manufacture the iE33 ultrasound system?,1
"The Siemens Acuson 9EVF4 probe is compatible with the following systems: S1000, S2000, S3000.","frozenset({'Siemens Acuson', '9EVF4', 'probes', 'compatibility', 'S1000, S2000, S3000'})",What systems are compatible with the Siemens Acuson 9EVF4 probe?,1
"The ATL CL 10-5 probe is suitable for the following applications: small parts, vascular.","frozenset({'small parts, vascular', 'ATL', 'probes', 'applications', 'CL 10-5'})",Is the ATL CL 10-5 probe designed for vascular imaging?,1
The ATL HDI 4000 ultrasound system is compatible with the following ATL probes: C9-5ICT.,"frozenset({'systems', 'C9-5ICT', 'HDI 4000', 'ATL', 'compatibility'})",Which ATL probes are compatible with the ATL HDI 4000 ultrasound system?,1
"The G.E. RAB2-5L probe is compatible with the following systems: Voluson 730 Pro, Voluson 730.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson 730 Pro, Voluson 730', 'RAB2-5L'})",Is the G.E. RAB2-5L probe suitable for use with the Voluson 730 Pro system?,1
The Sequoia 512 ultrasound system is made by Siemens Acuson.,"frozenset({'Sequoia 512', 'systems', 'manufacturer', 'Siemens Acuson'})",Who makes the Sequoia 512 ultrasound system?,1
"The ATL C4-2 probe is suitable for the following applications: abdominal, obstetric, gynecologic, general.","frozenset({'C4-2', 'ATL', 'abdominal, obstetric, gynecologic, general', 'probes', 'applications'})",Can the ATL C4-2 probe be used for obstetric purposes?,1
